School,Gender,Age,Housing Type,Family Size,Parents' Situation,Mother's Education,Father's Education,Mother's Occupation,Father's Occupation,Reason for Choosing School,Legal Guardian,Commute Time to School,Weekly Study Time,Extra Educational Support,Parental Educational Support,Private Lessons,Extracurricular Activities,Attended Preschool,Plans to Pursue Higher Education,Has Internet Access,Dating,Good Family Relationships,Free Time After School,Time with Friends,Alcohol Consumption on Weekdays,Alcohol Consumption on Weekends,Health Status,School Absences,Grade for the 1st Semester,Grade for the 2nd Semester
0,Female,17,0,1,0,2,1,4,4,Course Preference,Mother,1,Up to 2h,0,1,0,0,Yes,1,1,0,5,4,5,1,2,5,22,9,7
0,Male,15,0,1,0,1,1,4,2,Reputation,Father,1,2 to 5h,0,1,0,0,Yes,1,1,0,4,4,2,1,2,5,0,12,12
0,Male,15,0,0,1,2,1,3,4,Course Preference,Mother,2,Up to 2h,0,1,0,1,Yes,0,1,1,4,4,2,1,1,5,0,11,10
0,Male,15,0,1,0,3,2,1,2,Course Preference,Father,1,2 to 5h,0,1,0,0,Yes,1,1,0,3,3,2,1,1,3,2,11,11
0,Male,15,0,1,0,1,2,3,4,Reputation,Mother,1,2 to 5h,0,1,0,0,No,1,1,0,4,3,2,1,1,5,6,13,12
0,Male,15,0,1,0,1,2,3,2,Reputation,Father,1,2 to 5h,0,0,0,0,No,1,0,1,2,3,4,2,4,1,6,11,11
0,Female,16,0,1,0,4,4,0,0,Reputation,Mother,1,Up to 2h,0,1,0,0,Yes,0,1,1,3,3,2,2,1,5,16,9,9
0,Female,15,0,0,1,2,1,2,4,Reputation,Mother,4,Up to 2h,0,0,0,0,Yes,1,1,0,4,5,5,2,5,5,0,12,11
0,Female,18,0,0,0,1,1,4,4,Reputation,Mother,1,Up to 2h,0,0,0,0,Yes,0,1,1,2,3,5,2,5,4,0,11,9
0,Female,16,0,0,0,2,1,3,4,Reputation,Mother,1,Up to 2h,0,0,0,1,Yes,1,0,1,4,4,4,3,5,5,6,9,10
0,Male,15,1,1,0,3,3,2,2,Near Home,None,2,5 to 10h,0,1,1,1,Yes,1,1,1,4,2,1,2,3,3,2,13,13
0,Female,19,0,1,0,3,2,2,3,Course Preference,Mother,1,Up to 2h,0,1,0,0,Yes,0,1,1,4,5,4,1,1,4,6,11,9
0,Male,17,0,1,0,4,4,4,0,Reputation,Mother,1,Up to 2h,1,1,0,0,Yes,1,0,1,4,2,1,1,1,4,0,13,13
0,Female,15,1,1,0,2,3,3,2,Reputation,Mother,1,2 to 5h,1,0,1,1,Yes,1,0,0,4,4,4,1,1,1,0,7,8
0,Female,17,1,0,0,1,2,4,4,Near Home,Mother,1,Up to 2h,0,0,0,0,Yes,1,0,0,2,2,2,3,3,5,14,9,8
0,Male,18,1,1,0,1,1,3,4,Reputation,Mother,3,Up to 2h,0,1,0,1,No,1,0,0,5,2,5,1,5,4,6,11,10
0,Female,16,1,1,0,2,2,3,4,Reputation,Mother,3,Up to 2h,0,0,0,0,No,1,0,0,4,2,2,1,2,3,4,12,10
0,Female,16,0,1,0,3,3,4,2,Reputation,Father,1,2 to 5h,0,1,0,0,Yes,1,1,1,4,5,5,4,4,5,0,10,10
0,Female,16,0,0,0,1,2,1,2,Reputation,Mother,2,Up to 2h,0,0,0,0,No,1,1,0,4,4,5,3,5,5,0,9,8
0,Female,17,1,0,0,2,1,3,4,Reputation,Mother,2,Up to 2h,0,0,1,1,Yes,0,1,1,3,3,2,2,2,5,8,8,8
0,Female,17,1,1,0,3,2,4,4,Reputation,Mother,2,2 to 5h,1,1,0,0,Yes,1,1,1,4,4,4,1,4,3,4,7,6
0,Female,15,0,0,0,1,2,4,4,Reputation,Mother,2,Up to 2h,0,0,0,1,Yes,1,0,0,4,4,4,2,4,5,2,8,9
0,Female,16,0,1,0,1,3,3,2,Reputation,Father,1,Up to 2h,0,0,0,0,Yes,0,1,0,5,3,3,1,4,2,2,9,8
0,Female,17,1,0,0,1,1,4,2,Reputation,Mother,4,2 to 5h,0,0,0,1,Yes,0,0,1,5,3,5,1,5,5,0,8,8
0,Female,17,0,1,0,3,2,2,2,Reputation,Mother,2,Up to 2h,0,1,0,1,No,0,0,0,4,5,2,1,1,2,10,8,7
0,Female,16,0,1,0,2,2,4,4,Reputation,Father,1,2 to 5h,0,0,0,0,Yes,0,1,0,4,3,5,2,4,4,0,9,10
0,Male,16,0,1,0,4,2,1,2,Course Preference,Father,1,2 to 5h,0,0,0,0,Yes,1,1,1,4,2,3,1,1,3,0,17,17
0,Male,16,0,1,0,2,2,4,4,Course Preference,Mother,1,2 to 5h,0,1,0,0,No,1,1,0,5,1,5,1,1,4,0,12,12
0,Male,16,0,1,0,4,4,1,1,Near Home,Mother,1,2 to 5h,0,1,0,0,Yes,1,1,1,4,4,2,1,1,3,0,16,16
0,Female,16,0,1,0,3,4,4,4,Reputation,Father,3,Up to 2h,0,1,0,1,No,1,1,0,3,4,5,2,4,2,4,9,9
0,Female,16,0,1,0,1,0,4,4,Near Home,Mother,2,2 to 5h,0,1,0,1,Yes,1,1,1,4,3,2,1,1,3,0,16,17
0,Female,17,0,0,0,4,4,0,4,Near Home,Mother,1,2 to 5h,0,1,0,1,Yes,1,1,0,4,4,4,1,3,5,0,11,9
0,Male,16,0,1,0,1,3,3,2,Course Preference,Mother,1,2 to 5h,0,0,0,1,No,1,1,1,4,3,5,1,1,3,0,14,13
0,Male,16,0,0,0,3,3,4,4,Near Home,Mother,2,2 to 5h,0,1,0,1,Yes,1,1,0,4,4,5,1,1,4,0,14,14
0,Female,17,0,0,0,4,3,0,4,Reputation,Mother,2,2 to 5h,0,0,0,1,Yes,1,1,0,4,4,4,4,4,4,0,10,11
0,Male,16,0,1,0,2,2,2,4,Near Home,Mother,2,2 to 5h,0,0,0,1,No,1,1,0,3,4,4,1,4,5,0,13,12
0,Female,17,0,1,0,3,3,4,4,Near Home,Father,1,2 to 5h,0,0,0,1,No,1,1,0,4,3,4,1,4,4,4,11,9
0,Female,16,1,1,0,4,2,0,2,Other,Mother,1,Up to 2h,0,1,0,1,Yes,1,1,1,4,3,3,3,4,3,8,10,9
0,Female,17,0,1,0,4,3,4,4,Reputation,Mother,1,2 to 5h,0,1,1,1,Yes,1,1,1,5,2,3,1,1,2,4,11,11
0,Female,16,0,1,0,4,3,0,4,Course Preference,Mother,1,2 to 5h,0,1,1,1,Yes,1,1,0,3,4,3,2,3,3,4,11,10
0,Female,16,0,1,0,3,3,2,4,Course Preference,Mother,1,2 to 5h,0,0,0,1,Yes,1,1,1,4,2,3,1,2,3,0,11,12
0,Male,17,0,1,0,2,4,2,2,Near Home,Father,1,2 to 5h,0,1,0,1,Yes,1,0,0,5,4,2,2,3,5,0,17,18
0,Male,17,0,0,0,3,3,4,4,Near Home,Mother,1,2 to 5h,0,1,0,1,Yes,1,1,1,5,3,3,2,3,1,32,14,13
0,Male,16,0,1,0,3,2,4,4,Near Home,Mother,1,2 to 5h,0,1,0,0,Yes,1,1,0,1,2,2,1,2,1,8,14,15
0,Female,17,0,1,0,3,3,2,2,Other,Mother,1,2 to 5h,0,1,0,1,Yes,1,1,1,4,3,4,2,3,4,6,11,13
0,Female,16,0,1,0,1,2,2,2,Other,Mother,1,Up to 2h,0,1,0,1,Yes,1,1,1,3,3,3,1,2,3,0,10,9
0,Female,16,0,0,0,2,1,4,4,Reputation,Mother,1,2 to 5h,0,0,0,1,Yes,1,1,1,4,2,3,1,2,5,0,13,14
0,Male,17,0,1,1,3,3,1,4,Near Home,Mother,1,2 to 5h,0,1,0,0,No,1,1,1,3,3,3,1,3,3,10,12,13
0,Female,17,1,1,0,1,2,3,4,Course Preference,Mother,1,2 to 5h,0,0,0,0,Yes,1,0,0,3,1,3,1,5,3,6,9,9
0,Male,16,0,1,0,2,3,2,2,Reputation,Mother,1,2 to 5h,0,0,0,0,Yes,1,1,0,4,3,3,1,1,2,6,12,12
0,Male,17,0,1,0,1,1,3,2,Reputation,Mother,1,2 to 5h,0,0,0,1,Yes,1,1,0,5,3,3,1,1,3,0,12,11
0,Female,17,0,1,0,1,2,3,2,Other,None,2,2 to 5h,0,0,0,1,No,1,1,0,4,4,4,4,5,5,16,10,11
0,Female,16,1,1,0,3,3,2,2,Near Home,Mother,1,Up to 2h,0,1,0,1,Yes,1,1,0,4,3,2,3,4,5,0,11,10
0,Female,16,0,1,0,2,3,4,4,Course Preference,Father,2,Up to 2h,0,0,0,0,Yes,1,1,0,5,3,3,1,1,3,0,13,12
0,Male,17,0,0,0,2,4,2,2,Reputation,Father,1,2 to 5h,0,0,0,1,Yes,1,1,1,4,3,2,1,1,5,8,14,15
0,Female,17,0,1,0,4,4,2,0,Course Preference,Mother,1,Up to 2h,0,0,0,0,Yes,1,1,0,5,2,3,1,2,5,4,13,13
0,Female,16,1,0,0,3,3,0,4,Course Preference,Father,3,Up to 2h,0,1,0,1,Yes,1,1,0,3,3,4,3,5,3,16,10,11
0,Male,17,0,1,0,4,4,2,0,Course Preference,Mother,2,Up to 2h,0,1,0,0,Yes,1,1,0,4,2,4,2,3,2,30,14,15
0,Male,16,0,0,0,4,4,0,0,Near Home,Mother,1,2 to 5h,0,1,0,0,Yes,1,1,0,4,5,2,1,2,3,0,11,10
0,Male,16,0,1,0,4,3,1,4,Course Preference,Mother,1,2 to 5h,0,1,0,1,Yes,1,1,0,4,3,5,1,5,2,2,14,14
0,Male,16,0,1,0,2,3,4,4,Near Home,Mother,1,2 to 5h,1,1,0,1,Yes,1,0,0,4,4,3,1,3,4,4,11,12
0,Male,17,0,1,0,1,1,4,4,Reputation,Mother,1,2 to 5h,0,1,0,0,No,1,0,0,4,4,4,1,3,1,0,14,15
0,Male,17,1,1,0,2,2,4,4,Near Home,Mother,1,Up to 2h,0,1,0,0,Yes,1,1,0,5,3,2,1,2,3,21,13,13
0,Male,16,1,1,0,2,2,2,2,Near Home,Mother,2,More than 10h,0,1,0,1,No,1,1,0,5,3,5,1,1,5,6,13,13
0,Male,17,0,1,0,3,4,3,2,Course Preference,Mother,1,5 to 10h,0,1,1,0,Yes,1,1,1,4,4,3,3,4,5,14,8,9
0,Male,16,0,1,1,3,1,2,4,Reputation,Mother,1,2 to 5h,0,1,0,0,Yes,1,1,0,2,3,3,2,2,4,2,11,11
0,Male,16,0,1,0,4,3,0,4,Other,Mother,1,2 to 5h,0,0,0,1,Yes,1,1,1,1,3,2,1,1,1,4,14,15
0,Male,16,0,1,0,1,1,3,4,Course Preference,Mother,2,Up to 2h,0,1,0,0,Yes,1,0,0,4,3,2,1,4,5,2,12,13
0,Male,17,1,1,0,4,3,0,4,Near Home,Mother,2,5 to 10h,0,1,0,1,Yes,1,1,1,4,4,2,1,1,4,0,11,12
0,Male,19,0,1,0,3,3,4,4,Near Home,None,1,More than 10h,0,1,0,1,Yes,1,1,0,4,3,3,1,2,3,4,12,12
0,Female,17,0,0,0,4,4,2,4,Course Preference,Mother,1,2 to 5h,0,1,0,0,Yes,1,1,1,5,3,5,4,5,3,15,13,12
0,Male,16,0,1,1,2,2,4,4,Near Home,Mother,1,2 to 5h,1,1,0,0,Yes,1,1,0,3,3,4,1,1,4,0,13,13
0,Female,18,0,1,0,2,2,2,4,Course Preference,Mother,1,2 to 5h,0,1,0,1,Yes,1,1,0,4,4,4,2,4,5,10,12,11
0,Male,17,1,0,0,4,4,2,4,Other,Mother,1,Up to 2h,0,1,0,0,Yes,1,0,0,5,2,1,1,2,3,6,12,11
0,Male,17,0,0,0,3,2,4,4,Near Home,Mother,2,2 to 5h,0,0,0,0,Yes,1,1,0,4,4,4,1,3,1,2,14,16
0,Male,17,0,1,0,4,3,4,4,Near Home,Mother,1,2 to 5h,0,0,0,0,Yes,1,1,1,3,4,5,2,4,1,16,11,9
0,Female,18,0,0,0,3,3,2,1,Course Preference,Father,1,2 to 5h,0,1,0,0,Yes,1,1,0,3,2,4,2,4,4,10,10,10
0,Male,17,0,1,0,2,3,3,4,Course Preference,Father,2,Up to 2h,0,1,0,0,Yes,1,0,0,3,3,3,1,4,3,4,12,13
0,Male,17,0,1,0,2,2,3,3,Reputation,Mother,1,5 to 10h,0,1,0,1,Yes,1,1,0,4,3,3,1,1,4,0,12,12
0,Male,17,1,1,0,2,1,3,2,Near Home,Mother,2,2 to 5h,0,1,0,1,Yes,1,1,0,4,2,5,1,2,5,0,11,10
0,Male,17,0,1,0,1,1,3,4,Near Home,Mother,1,5 to 10h,0,1,0,1,Yes,1,0,1,4,3,4,1,1,5,12,12,12
0,Male,16,0,1,0,2,3,2,0,Other,Mother,1,2 to 5h,1,0,0,0,Yes,1,1,0,2,3,1,1,1,3,0,13,13
0,Female,18,0,1,0,2,2,4,4,Course Preference,Mother,2,2 to 5h,0,1,1,0,Yes,1,1,0,3,3,3,5,5,4,9,10,9
0,Male,16,0,1,0,4,4,0,2,Course Preference,Mother,1,5 to 10h,0,1,0,1,No,1,1,0,5,3,2,1,1,5,4,15,16
0,Male,18,1,1,0,3,1,4,4,Near Home,Mother,1,2 to 5h,0,0,0,1,Yes,1,1,1,5,3,3,1,1,4,4,8,8
0,Male,17,0,1,0,3,2,4,4,Reputation,Mother,1,2 to 5h,0,0,0,1,No,1,1,0,5,3,4,1,3,3,2,17,18
0,Female,17,0,0,0,2,3,2,2,Near Home,Father,1,2 to 5h,0,1,0,0,No,1,1,0,5,3,3,1,3,3,0,10,11
0,Female,18,0,0,0,2,1,3,4,Reputation,Mother,4,2 to 5h,1,1,0,1,Yes,1,1,1,4,3,2,4,5,3,2,9,10
0,Male,17,0,1,1,2,1,4,4,Reputation,Mother,2,5 to 10h,0,0,0,1,Yes,1,1,1,3,2,3,1,2,3,0,15,15
0,Male,17,0,0,0,4,3,1,4,Near Home,Father,1,2 to 5h,0,0,0,1,Yes,1,1,1,3,2,3,1,2,3,0,14,12
0,Female,17,1,1,0,2,2,4,4,Reputation,Father,2,2 to 5h,0,1,0,1,Yes,1,1,0,4,5,2,1,1,1,0,12,13
0,Female,17,0,1,0,4,4,0,0,Near Home,Mother,1,2 to 5h,1,1,0,1,Yes,1,1,1,4,5,5,1,3,2,0,13,13
0,Female,16,0,1,0,4,4,1,4,Near Home,Father,1,2 to 5h,0,1,0,1,Yes,1,1,0,4,2,4,2,4,1,0,13,13
0,Female,16,0,0,0,1,1,4,4,Course Preference,Mother,2,2 to 5h,0,1,0,0,Yes,1,1,0,3,4,2,1,1,5,2,9,9
0,Female,16,0,1,0,3,2,3,4,Near Home,Mother,2,5 to 10h,0,0,0,1,Yes,1,1,1,5,3,3,1,3,2,0,12,12
0,Female,17,0,0,0,2,2,4,4,Course Preference,Father,1,2 to 5h,0,0,0,1,No,1,1,1,4,4,2,5,5,4,0,16,16
0,Male,16,0,1,0,2,1,4,4,Course Preference,Mother,1,Up to 2h,0,0,0,0,Yes,1,1,1,4,5,2,1,1,5,4,9,10
0,Male,16,0,1,1,4,1,4,4,Course Preference,Mother,1,2 to 5h,0,0,0,1,Yes,1,1,1,5,3,3,1,2,5,0,14,13
0,Male,18,0,0,1,2,4,2,4,Reputation,Mother,2,2 to 5h,0,1,0,0,Yes,1,1,0,4,3,3,1,1,3,18,10,10
0,Male,18,0,0,0,2,2,3,2,Reputation,Mother,1,2 to 5h,0,1,0,0,No,1,1,1,5,3,1,1,1,5,16,9,8
0,Male,18,0,1,0,3,3,4,4,Reputation,Mother,2,Up to 2h,0,0,0,0,Yes,0,1,0,4,1,1,1,1,3,14,8,7
0,Female,18,0,1,0,2,2,4,3,Reputation,None,1,Up to 2h,0,1,0,1,No,0,1,1,4,4,3,2,2,1,26,7,8
0,Female,17,0,1,0,4,4,0,0,Reputation,Mother,1,Up to 2h,0,1,0,1,No,1,1,0,4,2,1,1,2,5,6,10,8
0,Male,17,0,1,0,3,2,4,4,Reputation,Father,1,2 to 5h,0,0,0,1,Yes,1,0,0,5,4,2,1,1,3,4,14,14
0,Male,17,0,0,0,1,1,3,3,Reputation,Mother,1,5 to 10h,0,1,0,1,Yes,1,1,1,4,3,2,1,2,4,10,11,10
0,Male,16,0,1,0,1,2,4,4,Reputation,Mother,1,Up to 2h,0,0,0,0,Yes,0,1,0,5,3,5,1,2,5,4,12,11
0,Male,17,1,1,0,2,1,3,2,Reputation,Mother,3,2 to 5h,0,0,0,1,Yes,1,0,0,2,1,1,1,1,3,2,13,13
0,Male,17,1,0,1,1,4,4,4,Reputation,None,4,Up to 2h,0,1,0,0,Yes,1,1,0,5,5,4,1,1,5,14,9,9
0,Female,18,0,1,0,2,2,4,2,Near Home,Father,1,2 to 5h,0,0,0,0,Yes,0,1,0,5,5,4,3,5,2,16,8,7
0,Male,17,0,0,1,2,2,4,4,Course Preference,Mother,1,Up to 2h,0,1,0,0,No,0,1,0,3,1,2,1,1,1,8,11,9
0,Male,17,1,0,0,1,1,3,4,Reputation,Mother,2,5 to 10h,0,0,0,1,Yes,1,1,0,4,3,3,1,3,5,4,15,14
0,Male,17,0,0,1,4,2,0,4,Reputation,Mother,1,2 to 5h,0,1,0,1,Yes,1,0,0,4,3,2,1,1,4,4,15,14
0,Female,17,0,0,0,4,3,1,4,Reputation,Mother,2,2 to 5h,0,0,0,1,Yes,1,1,1,2,5,5,1,4,5,8,15,15
0,Female,17,1,0,1,4,4,0,4,Reputation,Mother,2,2 to 5h,0,1,0,0,Yes,1,1,0,3,3,3,2,3,4,0,12,12
0,Female,16,0,0,0,4,3,0,4,Reputation,Mother,1,Up to 2h,0,0,0,1,No,1,1,0,5,4,5,1,1,3,7,14,14
0,Female,16,0,1,0,4,4,2,2,Reputation,Mother,1,Up to 2h,0,0,1,1,Yes,1,1,0,5,3,2,1,2,5,4,14,15
0,Male,17,0,1,0,4,4,0,2,Reputation,Mother,1,2 to 5h,0,1,1,0,Yes,1,1,1,5,3,1,1,4,5,2,11,11
0,Female,17,1,1,0,1,1,4,4,Course Preference,Father,2,5 to 10h,0,0,0,0,No,1,1,1,4,3,3,1,1,1,2,13,14
0,Male,17,0,1,0,3,3,2,4,Course Preference,Mother,2,5 to 10h,0,1,0,0,Yes,1,1,1,4,2,2,2,3,5,10,11,11
0,Male,17,0,1,0,1,1,3,4,Reputation,Mother,1,2 to 5h,1,0,0,0,No,1,0,1,4,3,2,1,1,4,10,10,9
0,Male,18,0,1,0,2,1,4,4,Reputation,None,2,5 to 10h,0,1,0,0,No,1,1,1,4,4,4,1,1,3,10,12,10
0,Female,16,0,1,0,2,1,4,4,Reputation,Mother,3,Up to 2h,0,0,0,0,Yes,1,1,0,4,3,3,1,1,4,7,15,16
0,Male,17,0,1,0,1,1,4,2,Reputation,Father,1,2 to 5h,0,1,0,0,Yes,1,0,0,4,3,4,1,2,5,4,11,10
0,Female,17,0,1,0,2,3,4,4,Reputation,Father,2,Up to 2h,0,0,0,0,Yes,1,1,0,5,2,2,1,1,2,2,9,12
0,Female,22,0,1,0,3,1,2,2,Other,Mother,1,Up to 2h,0,0,0,0,No,0,1,1,5,4,5,5,5,1,12,7,8
0,Female,18,1,0,0,3,3,4,2,Reputation,Mother,1,2 to 5h,0,1,0,0,Yes,1,1,1,4,3,3,1,3,5,8,10,9
0,Female,16,0,1,0,0,2,4,4,Other,Mother,1,Up to 2h,0,0,0,0,No,1,1,0,4,3,2,2,4,5,0,11,12
0,Female,18,0,1,0,3,2,2,4,Reputation,Mother,2,Up to 2h,0,0,0,0,Yes,0,1,0,4,4,5,2,4,5,8,7,8
0,Female,16,0,1,0,3,3,3,4,Near Home,None,3,2 to 5h,1,1,0,0,No,1,1,0,5,3,3,1,3,2,4,9,11
0,Female,18,0,1,0,2,1,2,2,Other,Mother,1,Up to 2h,0,0,0,0,No,0,1,0,3,2,5,2,5,5,4,7,8
0,Female,16,1,1,0,2,1,4,4,Reputation,Mother,2,Up to 2h,0,0,0,1,No,1,0,0,3,3,2,1,3,3,2,14,13
0,Female,17,1,1,0,2,1,4,4,Reputation,Mother,1,Up to 2h,0,0,0,0,No,1,1,0,4,4,2,2,4,5,0,12,12
0,Female,17,0,0,0,1,1,1,4,Reputation,Mother,2,Up to 2h,0,1,0,1,Yes,1,1,0,4,4,4,1,2,5,0,9,10
0,Male,18,0,0,1,2,1,4,4,Reputation,Mother,1,2 to 5h,0,1,0,0,No,1,1,1,4,3,4,1,3,5,2,12,12
0,Male,17,0,0,0,4,2,0,2,Near Home,Mother,1,More than 10h,0,1,0,1,Yes,1,1,0,4,2,3,1,1,4,2,14,15
0,Male,19,0,1,0,2,2,2,2,Course Preference,Mother,1,2 to 5h,0,1,0,0,Yes,1,1,0,4,3,3,1,1,5,0,10,10
0,Female,18,0,0,0,2,1,2,4,Reputation,Mother,3,2 to 5h,0,0,0,1,No,0,1,0,4,4,5,4,4,5,4,11,10
0,Male,17,1,1,0,4,2,4,4,Reputation,Mother,1,5 to 10h,0,1,0,1,Yes,1,1,0,4,3,4,1,3,5,2,11,12
0,Male,18,0,0,0,1,1,4,3,Course Preference,Mother,1,5 to 10h,0,1,0,0,No,1,0,0,4,4,3,2,3,3,4,11,12
0,Male,18,1,1,0,2,2,4,4,Course Preference,Mother,1,2 to 5h,1,0,0,0,Yes,1,0,0,3,2,3,1,1,5,4,11,11
0,Female,19,0,0,1,4,3,2,3,Near Home,Mother,1,2 to 5h,0,1,0,0,Yes,1,1,0,4,3,1,1,1,1,4,11,13
0,Female,18,0,1,0,2,1,4,4,Course Preference,Mother,1,2 to 5h,0,0,0,1,Yes,1,1,0,5,2,4,1,2,4,2,16,16
0,Female,17,1,1,0,2,2,4,2,Other,Mother,2,Up to 2h,0,0,0,0,No,0,0,0,5,2,2,1,1,4,0,9,10
0,Male,17,0,0,0,2,2,2,2,Reputation,Father,1,More than 10h,0,0,0,1,Yes,1,1,1,3,4,1,1,1,2,2,10,11
0,Male,20,1,1,0,2,1,4,4,Reputation,None,2,2 to 5h,0,1,1,1,Yes,0,1,1,1,2,3,1,2,2,8,10,12
0,Male,18,0,1,0,4,3,2,4,Course Preference,Father,1,2 to 5h,0,1,0,0,Yes,1,1,1,3,1,2,1,3,2,2,15,15
0,Female,18,0,1,0,4,3,0,4,Reputation,Mother,1,2 to 5h,0,1,0,0,No,1,1,0,4,3,2,1,1,3,2,10,10
0,Female,18,1,1,0,3,2,4,4,Reputation,Mother,1,5 to 10h,0,0,0,1,No,1,0,0,5,3,2,1,1,3,2,10,11
0,Male,17,0,1,0,3,3,4,4,Course Preference,Mother,1,5 to 10h,0,0,0,1,No,1,0,0,3,2,3,1,1,4,2,15,12
0,Male,18,0,1,0,2,2,3,2,Course Preference,Mother,1,5 to 10h,0,1,0,1,Yes,1,1,1,4,3,3,1,1,3,0,11,12
0,Female,17,0,1,0,2,2,4,4,Course Preference,Father,2,Up to 2h,0,0,0,0,Yes,0,1,0,4,4,4,2,3,4,8,8,8
0,Female,18,1,0,1,3,4,4,4,Near Home,Mother,2,2 to 5h,0,1,0,1,Yes,1,1,0,4,2,5,3,4,1,6,15,16
0,Female,17,0,1,0,3,1,2,4,Other,Mother,1,2 to 5h,0,0,0,1,Yes,1,1,1,5,4,4,3,4,5,0,11,11
0,Male,18,1,1,0,4,4,0,4,Near Home,Mother,2,2 to 5h,0,0,0,1,Yes,1,1,0,4,3,4,2,2,4,8,10,11
0,Female,18,0,1,0,4,2,1,4,Near Home,Father,1,2 to 5h,0,1,0,1,Yes,1,1,1,5,4,5,1,3,5,4,10,12
0,Male,18,1,1,0,2,1,4,4,Near Home,Mother,2,2 to 5h,0,1,0,0,Yes,0,1,1,4,3,5,1,2,3,12,8,9
0,Male,19,0,1,0,3,3,4,2,Course Preference,None,1,2 to 5h,0,1,0,1,Yes,1,1,0,4,3,5,3,3,5,16,11,12
0,Male,18,0,1,0,2,3,4,2,Near Home,Father,1,More than 10h,0,1,0,1,Yes,1,1,1,4,5,5,1,3,2,10,16,16
0,Male,18,0,0,0,1,1,4,4,Course Preference,Mother,2,2 to 5h,0,1,0,0,No,1,0,0,4,4,3,1,1,3,2,13,13
0,Female,17,1,1,0,1,2,3,3,Course Preference,Mother,1,2 to 5h,0,1,0,1,No,1,0,1,3,5,2,2,2,1,2,16,17
0,Male,18,0,1,0,2,1,4,4,Course Preference,Mother,1,2 to 5h,0,1,0,0,Yes,1,1,1,4,2,5,1,2,1,8,14,14
0,Male,17,0,1,0,2,4,3,1,Near Home,Mother,2,2 to 5h,0,1,0,0,Yes,1,1,1,4,3,3,1,1,1,6,15,16
0,Male,17,0,0,0,2,2,2,4,Reputation,Mother,2,2 to 5h,1,1,0,0,Yes,1,1,1,4,4,4,2,3,5,6,12,12
